dato,skole,elevdag,sfodag,kommentar
2017-01-06,Oltedal skole,Ja,Ja,
2017-01-07,Oltedal skole,Nei,Nei,Lørdag
2017-01-08,Oltedal skole,Nei,Nei,Søndag
2017-01-09,Oltedal skole,Ja,Ja,
2017-01-10,Oltedal skole,Ja,Ja,
2017-01-11,Oltedal skole,Ja,Ja,
2017-01-12,Oltedal skole,Ja,Ja,
2017-01-13,Oltedal skole,Ja,Ja,
2017-01-14,Oltedal skole,Nei,Nei,Lørdag
2017-01-15,Oltedal skole,Nei,Nei,Søndag
2017-01-16,Oltedal skole,Ja,Ja,
2017-01-17,Oltedal skole,Ja,Ja,
2017-01-18,Oltedal skole,Ja,Ja,
2017-01-19,Oltedal skole,Ja,Ja,
2017-01-20,Oltedal skole,Ja,Ja,
2017-01-21,Oltedal skole,Nei,Nei,Lørdag
2017-01-22,Oltedal skole,Nei,Nei,Søndag
2017-01-23,Oltedal skole,Ja,Ja,
2017-01-24,Oltedal skole,Ja,Ja,
2017-01-25,Oltedal skole,Ja,Ja,
2017-01-26,Oltedal skole,Ja,Ja,
2017-01-27,Oltedal skole,Ja,Ja,
2017-01-28,Oltedal skole,Nei,nei,Lørdag
2017-01-29,Oltedal skole,Nei,Nei,Søndag
2017-01-30,Oltedal skole,Ja,Ja,
2017-01-31,Oltedal skole,Ja,Ja,
2017-02-01,Oltedal skole,Ja,Ja,
2017-02-02,Oltedal skole,Ja,Ja,
2017-02-03,Oltedal skole,Ja,Ja,
2017-02-04,Oltedal skole,Nei,Nei,Lørdag
2017-02-05,Oltedal skole,Nei,Nei,Søndag
2017-02-06,Oltedal skole,Ja,Ja,
2017-02-07,Oltedal skole,Ja,Ja,
2017-02-08,Oltedal skole,Ja,Ja,
2017-02-09,Oltedal skole,Ja,Ja,
2017-02-10,Oltedal skole,Ja,Ja,
2017-02-11,Oltedal skole,Nei,Nei,Lørdag
2017-02-12,Oltedal skole,Nei,Nei,Søndag
2017-02-13,Oltedal skole,Ja,Ja,
2017-02-14,Oltedal skole,Ja,Ja,
2017-02-15,Oltedal skole,Ja,Ja,
2017-02-16,Oltedal skole,Ja,Ja,
2017-02-17,Oltedal skole,Ja,Ja,
2017-02-18,Oltedal skole,Nei,Nei,Lørdag
2017-02-19,Oltedal skole,Nei,nei,Søndag
2017-02-20,Oltedal skole,Ja,Ja,
2017-02-21,Oltedal skole,Ja,Ja,
2017-02-22,Oltedal skole,Ja,Ja,
2017-02-23,Oltedal skole,Ja,Ja,
2017-02-24,Oltedal skole,Ja,Ja,
2017-02-25,Oltedal skole,Nei,Nei,Lørdag
2017-02-26,Oltedal skole,Nei,Nei,Søndag
2017-02-27,Oltedal skole,Nei,Ja,Vinterferie 
2017-02-28,Oltedal skole,Nei,Ja,Vinterferie 
2017-03-01,Oltedal skole,Nei,Ja,Vinterferie 
2017-03-02,Oltedal skole,Nei,Ja,Vinterferie 
2017-03-03,Oltedal skole,Nei,Ja,Vinterferie 
2017-03-04,Oltedal skole,Nei,Nei,Lørdag
2017-03-05,Oltedal skole,Nei,Nei,Søndag
2017-03-06,Oltedal skole,Ja,Ja,
2017-03-07,Oltedal skole,Ja,Ja,
2017-03-08,Oltedal skole,Ja,Ja,
2017-03-09,Oltedal skole,Ja,Ja,
2017-03-10,Oltedal skole,Ja,Ja,
2017-03-11,Oltedal skole,Nei,Nei,Lørdag
2017-03-12,Oltedal skole,Nei,Nei,Søndag
2017-03-13,Oltedal skole,Ja,Ja,
2017-03-14,Oltedal skole,Ja,Ja,
2017-03-15,Oltedal skole,Ja,Ja,
2017-03-16,Oltedal skole,Ja,Ja,
2017-03-17,Oltedal skole,Ja,Ja,
2017-03-18,Oltedal skole,Nei,Nei,Lørdag
2017-03-19,Oltedal skole,Nei,Nei,Søndag
2017-03-20,Oltedal skole,Ja,Ja,
2017-03-21,Oltedal skole,Ja,Ja,
2017-03-22,Oltedal skole,Ja,Ja,
2017-03-23,Oltedal skole,Ja,Ja,
2017-03-24,Oltedal skole,Ja,Ja,
2017-03-25,Oltedal skole,Nei,Nei,Lørdag
2017-03-26,Oltedal skole,Nei,Nei,Søndag
2017-03-27,Oltedal skole,Ja,Ja,
2017-03-28,Oltedal skole,Ja,Ja,
2017-03-29,Oltedal skole,Ja,Ja,
2017-03-30,Oltedal skole,Ja,Ja,
2017-03-31,Oltedal skole,Ja,Ja,
2017-04-01,Oltedal skole,Nei,Nei,Lørdag
2017-04-02,Oltedal skole,Nei,Nei,Søndag
2017-04-03,Oltedal skole,Ja,Ja,
2017-04-04,Oltedal skole,Ja,Ja,
2017-04-05,Oltedal skole,Ja,Ja,
2017-04-06,Oltedal skole,Ja,Ja,
2017-04-07,Oltedal skole,Ja,Ja,
2017-04-08,Oltedal skole,Nei,Nei,Lørdag
2017-04-09,Oltedal skole,Nei,Nei,Søndag
2017-04-10,Oltedal skole,Nei,Ja,Påskeferie 
2017-04-11,Oltedal skole,Nei,Ja,Påskeferie 
2017-04-12,Oltedal skole,Nei,nei,Påskeferie 
2017-04-13,Oltedal skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-14,Oltedal skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-15,Oltedal skole,Nei,Nei,Lørdag
2017-04-16,Oltedal skole,Nei,Nei,Søndag
2017-04-17,Oltedal skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-18,Oltedal skole,Nei,Ja,Plandag 
2017-04-19,Oltedal skole,Ja,ja,
2017-04-20,Oltedal skole,Ja,Ja,
2017-04-21,Oltedal skole,Ja,Ja,
2017-04-22,Oltedal skole,Nei,Nei,Lørdag
2017-04-23,Oltedal skole,Nei,Nei,Søndag
2017-04-24,Oltedal skole,Ja,Ja,
2017-04-25,Oltedal skole,Ja,Ja,
2017-04-26,Oltedal skole,Ja,Ja,
2017-04-27,Oltedal skole,Ja,Ja,
2017-04-28,Oltedal skole,Ja,Ja,
2017-04-29,Oltedal skole,Nei,Nei,Lørdag
2017-04-30,Oltedal skole,Nei,Nei,Søndag
2017-05-01,Oltedal skole,Nei,Nei,Off.fridag 
2017-05-02,Oltedal skole,Ja,Ja,
2017-05-03,Oltedal skole,Ja,Ja,
2017-05-04,Oltedal skole,Ja,Ja,
2017-05-05,Oltedal skole,Ja,Ja,
2017-05-06,Oltedal skole,Nei,Nei,Lørdag
2017-05-07,Oltedal skole,Nei,Nei,Søndag
2017-05-08,Oltedal skole,Ja,Ja,
2017-05-09,Oltedal skole,Ja,Ja,
2017-05-10,Oltedal skole,Ja,Ja,
2017-05-11,Oltedal skole,Ja,Ja,
2017-05-12,Oltedal skole,Ja,Ja,
2017-05-13,Oltedal skole,Nei,Nei,Lørdag
2017-05-14,Oltedal skole,Nei,Nei,Søndag
2017-05-15,Oltedal skole,Ja,Ja,
2017-05-16,Oltedal skole,Ja,Ja,
2017-05-17,Oltedal skole,Nei,Nei,Grunnlovsdag 
2017-05-18,Oltedal skole,Ja,Ja,
2017-05-19,Oltedal skole,Ja,Ja,
2017-05-20,Oltedal skole,Nei,Nei,Lørdag
2017-05-21,Oltedal skole,Nei,Nei,Søndag
2017-05-22,Oltedal skole,Ja,Ja,
2017-05-23,Oltedal skole,Ja,Ja,
2017-05-24,Oltedal skole,Ja,Ja,
2017-05-25,Oltedal skole,Nei,Nei,Kr.H.f
2017-05-26,Oltedal skole,nei,Ja,Fridag 
2017-05-27,Oltedal skole,Nei,Nei,Lørdag
2017-05-28,Oltedal skole,Nei,Nei,Søndag
2017-05-29,Oltedal skole,Ja,Ja,
2017-05-30,Oltedal skole,Ja,Ja,
2017-05-31,Oltedal skole,Ja,Ja,
2017-06-01,Oltedal skole,Ja,Ja,
2017-06-02,Oltedal skole,Ja,Ja,
2017-06-03,Oltedal skole,Nei,Nei,Lørdag
2017-06-04,Oltedal skole,Nei,Nei,Søndag
2017-06-05,Oltedal skole,Nei,Nei,2.pinsedag 
2017-06-06,Oltedal skole,Ja,Ja,
2017-06-07,Oltedal skole,Ja,Ja,
2017-06-08,Oltedal skole,Ja,Ja,
2017-06-09,Oltedal skole,Ja,Ja,
2017-06-10,Oltedal skole,Nei,Nei,Lørdag
2017-06-11,Oltedal skole,Nei,Nei,Søndag
2017-06-12,Oltedal skole,Ja,Ja,
2017-06-13,Oltedal skole,Ja,Ja,
2017-06-14,Oltedal skole,Ja,Ja,
2017-06-15,Oltedal skole,Ja,Ja,
2017-06-16,Oltedal skole,Ja,Ja,
2017-06-17,Oltedal skole,Nei,Nei,Lørdag
2017-06-18,Oltedal skole,Nei,Nei,Søndag
2017-06-19,Oltedal skole,Ja,Ja,
2017-06-20,Oltedal skole,Ja,Ja,
2017-06-21,Oltedal skole,Ja,Ja,
2017-06-22,Oltedal skole,Ja,Ja,Siste skoledag før sommerferien 
2017-06-23,Oltedal skole,Nei,Ja,Sommerferie
2017-06-24,Oltedal skole,Nei,Nei,Lørdag
2017-06-25,Oltedal skole,Nei,Nei,Søndag
2017-06-26,Oltedal skole,Nei,Ja,Sommerferie
2017-06-27,Oltedal skole,Nei,Ja,Sommerferie
2017-06-28,Oltedal skole,Nei,Ja,Sommerferie
2017-06-29,Oltedal skole,Nei,Ja,Sommerferie
2017-06-30,Oltedal skole,Nei,Ja,Sommerferie
2017-07-01,Oltedal skole,Nei,Nei,Lørdag
2017-07-02,Oltedal skole,Nei,Nei,Søndag
2017-07-03,Oltedal skole,Nei,Nei,Sommerferie
2017-07-04,Oltedal skole,Nei,Nei,Sommerferie
2017-07-05,Oltedal skole,Nei,Nei,Sommerferie
2017-07-06,Oltedal skole,Nei,Nei,Sommerferie
2017-07-07,Oltedal skole,Nei,Nei,Sommerferie
2017-07-08,Oltedal skole,Nei,Nei,Lørdag
2017-07-09,Oltedal skole,Nei,Nei,Søndag
2017-07-10,Oltedal skole,Nei,Nei,Sommerferie
2017-07-11,Oltedal skole,Nei,Nei,Sommerferie
2017-07-12,Oltedal skole,Nei,Nei,Sommerferie
2017-07-13,Oltedal skole,Nei,Nei,Sommerferie
2017-07-14,Oltedal skole,Nei,Nei,Sommerferie
2017-07-15,Oltedal skole,Nei,Nei,Lørdag
2017-07-16,Oltedal skole,Nei,Nei,Søndag
2017-07-17,Oltedal skole,Nei,Nei,Sommerferie
2017-07-18,Oltedal skole,Nei,Nei,Sommerferie
2017-07-19,Oltedal skole,Nei,Nei,Sommerferie
2017-07-20,Oltedal skole,Nei,Nei,Sommerferie
2017-07-21,Oltedal skole,Nei,Nei,Sommerferie
2017-07-22,Oltedal skole,Nei,Nei,Lørdag
2017-07-23,Oltedal skole,Nei,Nei,Søndag
2017-07-24,Oltedal skole,Nei,Nei,Sommerferie
2017-07-25,Oltedal skole,Nei,Nei,Sommerferie
2017-07-26,Oltedal skole,Nei,Nei,Sommerferie
2017-07-27,Oltedal skole,Nei,Nei,Sommerferie
2017-07-28,Oltedal skole,Nei,Nei,Sommerferie
2017-07-29,Oltedal skole,Nei,Nei,Lørdag
2017-07-30,Oltedal skole,Nei,Nei,Søndag
2017-07-31,Oltedal skole,Nei,Nei,Sommerferie
2016-06-01,Solås skole,Ja,Ja,
2016-06-02,Solås skole,Ja,Ja,
2016-06-03,Solås skole,Ja,Ja,
2016-06-04,Solås skole,Nei,Nei,Lørdag
2016-06-05,Solås skole,Nei,Nei,Søndag
2016-06-06,Solås skole,Ja,Ja,
2016-06-07,Solås skole,Ja,Ja,
2016-06-08,Solås skole,Ja,Ja,
2016-06-09,Solås skole,Ja,Ja,
2016-06-10,Solås skole,Ja,Ja,
2016-06-11,Solås skole,Nei,Nei,Lørdag
2016-06-12,Solås skole,Nei,Nei,Søndag
2016-06-13,Solås skole,Ja,Ja,
2016-06-14,Solås skole,Ja,Ja,
2016-06-15,Solås skole,Ja,Ja,
2016-06-16,Solås skole,Ja,Ja,
2016-06-17,Solås skole,Ja,Ja,
2016-06-18,Solås skole,Nei,Nei,Lørdag
2016-06-19,Solås skole,Nei,Nei,Søndag
2016-06-20,Solås skole,Ja,Ja,
2016-06-21,Solås skole,Ja,Ja,
2016-06-22,Solås skole,Ja,Ja,Siste skoledag før sommerferien 
2016-06-23,Solås skole,Nei,Ja,Sommerferie
2016-06-24,Solås skole,Nei,Ja,Sommerferie
2016-06-25,Solås skole,Nei,Nei,Lørdag
2016-06-26,Solås skole,Nei,Nei,Søndag
2016-06-27,Solås skole,Nei,Ja,Sommerferie
2016-06-28,Solås skole,Nei,Ja,Sommerferie
2016-06-29,Solås skole,Nei,Ja,Sommerferie
2016-06-30,Solås skole,Nei,Ja,Sommerferie
2016-07-01,Solås skole,Nei,Nei,Sommerferie
2016-07-02,Solås skole,Nei,Nei,Lørdag
2016-07-03,Solås skole,Nei,Nei,Søndag
2016-07-04,Solås skole,Nei,Nei,Sommerferie
2016-07-05,Solås skole,Nei,Nei,Sommerferie
2016-07-06,Solås skole,Nei,Nei,Sommerferie
2016-07-07,Solås skole,Nei,Nei,Sommerferie
2016-07-08,Solås skole,Nei,Nei,Sommerferie
2016-07-09,Solås skole,Nei,Nei,Lørdag
2016-07-10,Solås skole,Nei,Nei,Søndag
2016-07-11,Solås skole,Nei,Nei,Sommerferie
2016-07-12,Solås skole,Nei,Nei,Sommerferie
2016-07-13,Solås skole,Nei,Nei,Sommerferie
2016-07-14,Solås skole,Nei,Nei,Sommerferie
2016-07-15,Solås skole,Nei,Nei,Sommerferie
2016-07-16,Solås skole,Nei,Nei,Lørdag
2016-07-17,Solås skole,Nei,Nei,Søndag
2016-07-18,Solås skole,Nei,Nei,Sommerferie
2016-07-19,Solås skole,Nei,Nei,Sommerferie
2016-07-20,Solås skole,Nei,Nei,Sommerferie
2016-07-21,Solås skole,Nei,Nei,Sommerferie
2016-07-22,Solås skole,Nei,Nei,Sommerferie
2016-07-23,Solås skole,Nei,Nei,Lørdag
2016-07-24,Solås skole,Nei,Nei,Søndag
2016-07-25,Solås skole,Nei,Nei,Sommerferie
2016-07-26,Solås skole,Nei,Nei,Sommerferie
2016-07-27,Solås skole,Nei,Nei,Sommerferie
2016-07-28,Solås skole,Nei,Nei,Sommerferie
2016-07-29,Solås skole,Nei,Nei,Sommerferie
2016-07-30,Solås skole,Nei,Nei,Lørdag
2016-07-31,Solås skole,Nei,Nei,Søndag
2016-08-01,Solås skole,Nei,Ja,Sommerferie
2016-08-02,Solås skole,Nei,Ja,Sommerferie
2016-08-03,Solås skole,Nei,Ja,Sommerferie
2016-08-04,Solås skole,Nei,Ja,Sommerferie
2016-08-05,Solås skole,Nei,Ja,Sommerferie
2016-08-06,Solås skole,Nei,Nei,Lørdag
2016-08-07,Solås skole,Nei,Nei,Søndag
2016-08-08,Solås skole,Nei,Ja,Sommerferie
2016-08-09,Solås skole,Nei,Ja,Sommerferie
2016-08-10,Solås skole,Nei,Ja,Sommerferie
2016-08-11,Solås skole,Nei,Ja,Sommerferie
2016-08-12,Solås skole,Nei,Ja,Sommerferie
2016-08-13,Solås skole,Nei,Nei,Lørdag
2016-08-14,Solås skole,Nei,Nei,Søndag
2016-08-15,Solås skole,Nei,Ja,Sommerferie
2016-08-16,Solås skole,Nei,Ja,Sommerferie
2016-08-17,Solås skole,Ja,Ja,Skolestart for elevene 
2016-08-18,Solås skole,Ja,Ja,
2016-08-19,Solås skole,Ja,Ja,
2016-08-20,Solås skole,Nei,Nei,Lørdag
2016-08-21,Solås skole,Nei,Nei,Søndag
2016-08-22,Solås skole,Ja,Ja,
2016-08-23,Solås skole,Ja,Ja,
2016-08-24,Solås skole,Ja,Ja,
2016-08-25,Solås skole,Ja,Ja,
2016-08-26,Solås skole,Ja,Ja,
2016-08-27,Solås skole,Nei,Nei,Lørdag
2016-08-28,Solås skole,Nei,Nei,Søndag
2016-08-29,Solås skole,Ja,Ja,
2016-08-30,Solås skole,Ja,Ja,
2016-08-31,Solås skole,Ja,Ja,
2016-09-01,Solås skole,Ja,Ja,
2016-09-02,Solås skole,Ja,Ja,
2016-09-03,Solås skole,Nei,Nei,Lørdag
2016-09-04,Solås skole,Nei,Nei,Søndag
2016-09-05,Solås skole,Ja,Ja,
2016-09-06,Solås skole,Ja,Ja,
2016-09-07,Solås skole,Ja,Ja,
2016-09-08,Solås skole,Ja,Ja,
2016-09-09,Solås skole,Ja,Ja,
2016-09-10,Solås skole,Nei,Nei,Lørdag
2016-09-11,Solås skole,Nei,Nei,Søndag
2016-09-12,Solås skole,Ja,Ja,
2016-09-13,Solås skole,Ja,Ja,
2016-09-14,Solås skole,Ja,Ja,
2016-09-15,Solås skole,Ja,Ja,
2016-09-16,Solås skole,Ja,Ja,
2016-09-17,Solås skole,Nei,Nei,Lørdag
2016-09-18,Solås skole,Nei,Nei,Søndag
2016-09-19,Solås skole,Ja,Ja,
2016-09-20,Solås skole,Ja,Ja,
2016-09-21,Solås skole,Ja,Ja,
2016-09-22,Solås skole,Ja,Ja,
2016-09-23,Solås skole,Ja,Ja,
2016-09-24,Solås skole,Nei,Nei,Lørdag
2016-09-25,Solås skole,Nei,Nei,Søndag
2016-09-26,Solås skole,Ja,Ja,
2016-09-27,Solås skole,Ja,Ja,
2016-09-28,Solås skole,Ja,Ja,
2016-09-29,Solås skole,Ja,Ja,
2016-09-30,Solås skole,Ja,Ja,
2016-10-01,Solås skole,Nei,Nei,Lørdag
2016-10-02,Solås skole,Nei,Nei,Søndag
2016-10-03,Solås skole,Ja,Ja,
2016-10-04,Solås skole,Ja,Ja,
2016-10-05,Solås skole,Ja,Ja,
2016-10-06,Solås skole,Ja,Ja,
2016-10-07,Solås skole,Ja,Ja,
2016-10-08,Solås skole,Nei,Nei,Lørdag
2016-10-09,Solås skole,Nei,Nei,Søndag
2016-10-10,Solås skole,Nei,Ja,Høstferie
2016-10-11,Solås skole,Nei,Ja,Høstferie
2016-10-12,Solås skole,Nei,Ja,Høstferie
2016-10-13,Solås skole,Nei,Ja,Høstferie
2016-10-14,Solås skole,Nei,Ja,Høstferie
2016-10-15,Solås skole,Nei,Nei,Lørdag
2016-10-16,Solås skole,Nei,Nei,Søndag
2016-10-17,Solås skole,Ja,Ja,
2016-10-18,Solås skole,Ja,Ja,
2016-10-19,Solås skole,Ja,Ja,
2016-10-20,Solås skole,Ja,Ja,
2016-10-21,Solås skole,Ja,Ja,
2016-10-22,Solås skole,Nei,Nei,Lørdag
2016-10-23,Solås skole,Nei,Nei,Søndag
2016-10-24,Solås skole,Ja,Ja,
2016-10-25,Solås skole,Ja,Ja,
2016-10-26,Solås skole,Ja,Ja,
2016-10-27,Solås skole,Ja,Ja,
2016-10-28,Solås skole,Ja,Ja,
2016-10-29,Solås skole,Nei,Nei,Lørdag
2016-10-30,Solås skole,Nei,Nei,Søndag
2016-10-31,Solås skole,Ja,Ja,
2016-11-01,Solås skole,Ja,Ja,
2016-11-02,Solås skole,Ja,Ja,
2016-11-03,Solås skole,Ja,Ja,
2016-11-04,Solås skole,Ja,Ja,
2016-11-05,Solås skole,Nei,Nei,Lørdag
2016-11-06,Solås skole,Nei,Nei,Søndag
2016-11-07,Solås skole,Ja,Ja,
2016-11-08,Solås skole,Ja,Ja,
2016-11-09,Solås skole,Ja,Ja,
2016-11-10,Solås skole,Ja,Ja,
2016-11-11,Solås skole,Ja,Ja,
2016-11-12,Solås skole,Nei,Nei,Lørdag
2016-11-13,Solås skole,Nei,Nei,Søndag
2016-11-14,Solås skole,Ja,Ja,
2016-11-15,Solås skole,Ja,Ja,
2016-11-16,Solås skole,Ja,Ja,
2016-11-17,Solås skole,Ja,Ja,
2016-11-18,Solås skole,Nei,Ja,Fridag for elevene
2016-11-19,Solås skole,Nei,Nei,Lørdag
2016-11-20,Solås skole,Nei,Nei,Søndag
2016-11-21,Solås skole,Ja,Ja,
2016-11-22,Solås skole,Ja,Ja,
2016-11-23,Solås skole,Ja,Ja,
2016-11-24,Solås skole,Ja,Ja,
2016-11-25,Solås skole,Ja,Ja,
2016-11-26,Solås skole,Nei,Nei,Lørdag
2016-11-27,Solås skole,Nei,Nei,Søndag
2016-11-28,Solås skole,Ja,Ja,
2016-11-29,Solås skole,Ja,Ja,
2016-11-30,Solås skole,Ja,Ja,
2016-12-01,Solås skole,Ja,Ja,
2016-12-02,Solås skole,Ja,Ja,
2016-12-03,Solås skole,Nei,Nei,Lørdag
2016-12-04,Solås skole,Nei,Nei,Søndag
2016-12-05,Solås skole,Ja,Ja,
2016-12-06,Solås skole,Ja,Ja,
2016-12-07,Solås skole,Ja,Ja,
2016-12-08,Solås skole,Ja,Ja,
2016-12-09,Solås skole,Ja,Ja,
2016-12-10,Solås skole,Nei,Nei,Lørdag
2016-12-11,Solås skole,Nei,Nei,Søndag
2016-12-12,Solås skole,Ja,Ja,
2016-12-13,Solås skole,Ja,Ja,
2016-12-14,Solås skole,Ja,Ja,
2016-12-15,Solås skole,Ja,Ja,
2016-12-16,Solås skole,Ja,Ja,
2016-12-17,Solås skole,Nei,Nei,Lørdag
2016-12-18,Solås skole,Nei,Nei,Søndag
2016-12-19,Solås skole,Ja,Ja,
2016-12-20,Solås skole,Ja,Ja,
2016-12-21,Solås skole,Nei,Ja,Juleferie
2016-12-22,Solås skole,Nei,Ja,Juleferie
2016-12-23,Solås skole,Nei,Ja,Juleferie
2016-12-24,Solås skole,Nei,Nei,Lørdag
2016-12-25,Solås skole,Nei,Nei,Søndag
2016-12-26,Solås skole,Nei,Nei,2.juledag
2016-12-27,Solås skole,Nei,Ja,Juleferie
2016-12-28,Solås skole,Nei,Ja,Juleferie
2016-12-29,Solås skole,Nei,Ja,Juleferie
2016-12-30,Solås skole,Nei,Ja,Juleferie
2016-12-31,Solås skole,Nei,Nei,Lørdag
2017-01-01,Solås skole,Nei,Nei,Søndag
2017-01-02,Solås skole,Ja,Ja,
2017-01-03,Solås skole,Ja,Ja,
2017-01-04,Solås skole,Ja,Ja,
2017-01-05,Solås skole,Ja,Ja,
2017-01-06,Solås skole,Ja,Ja,
2017-01-07,Solås skole,Nei,Nei,Lørdag
2017-01-08,Solås skole,Nei,Nei,Søndag
2017-01-09,Solås skole,Ja,Ja,
2017-01-10,Solås skole,Ja,Ja,
2017-01-11,Solås skole,Ja,Ja,
2017-01-12,Solås skole,Ja,Ja,
2017-01-13,Solås skole,Ja,Ja,
2017-01-14,Solås skole,Nei,Nei,Lørdag
2017-01-15,Solås skole,Nei,Nei,Søndag
2017-01-16,Solås skole,Ja,Ja,
2017-01-17,Solås skole,Ja,Ja,
2017-01-18,Solås skole,Ja,Ja,
2017-01-19,Solås skole,Ja,Ja,
2017-01-20,Solås skole,Ja,Ja,
2017-01-21,Solås skole,Nei,Nei,Lørdag
2017-01-22,Solås skole,Nei,Nei,Søndag
2017-01-23,Solås skole,Ja,Ja,
2017-01-24,Solås skole,Ja,Ja,
2017-01-25,Solås skole,Ja,Ja,
2017-01-26,Solås skole,Ja,Ja,
2017-01-27,Solås skole,Ja,Ja,
2017-01-28,Solås skole,Nei,Nei,Lørdag
2017-01-29,Solås skole,Nei,Nei,Søndag
2017-01-30,Solås skole,Ja,Ja,
2017-01-31,Solås skole,Ja,Ja,
2017-02-01,Solås skole,Ja,Ja,
2017-02-02,Solås skole,Ja,Ja,
2017-02-03,Solås skole,Ja,Ja,
2017-02-04,Solås skole,Nei,Nei,Lørdag
2017-02-05,Solås skole,Nei,Nei,Søndag
2017-02-06,Solås skole,Ja,Ja,
2017-02-07,Solås skole,Ja,Ja,
2017-02-08,Solås skole,Ja,Ja,
2017-02-09,Solås skole,Ja,Ja,
2017-02-10,Solås skole,Ja,Ja,
2017-02-11,Solås skole,Nei,Nei,Lørdag
2017-02-12,Solås skole,Nei,Nei,Søndag
2017-02-13,Solås skole,Ja,Ja,
2017-02-14,Solås skole,Ja,Ja,
2017-02-15,Solås skole,Ja,Ja,
2017-02-16,Solås skole,Ja,Ja,
2017-02-17,Solås skole,Ja,Ja,
2017-02-18,Solås skole,Nei,Nei,Lørdag
2017-02-19,Solås skole,Nei,Nei,Søndag
2017-02-20,Solås skole,Ja,Ja,
2017-02-21,Solås skole,Ja,Ja,
2017-02-22,Solås skole,Ja,Ja,
2017-02-23,Solås skole,Ja,Ja,
2017-02-24,Solås skole,Ja,Ja,
2017-02-25,Solås skole,Nei,Nei,Lørdag
2017-02-26,Solås skole,Nei,Nei,Søndag
2017-02-27,Solås skole,Nei,Ja,Vinterferie
2017-02-28,Solås skole,Nei,Ja,Vinterferie
2017-03-01,Solås skole,Nei,Ja,Vinterferie
2017-03-02,Solås skole,Nei,Ja,Vinterferie
2017-03-03,Solås skole,Nei,Ja,Vinterferie
2017-03-04,Solås skole,Nei,Nei,Lørdag
2017-03-05,Solås skole,Nei,Nei,Søndag
2017-03-06,Solås skole,Ja,Ja,
2017-03-07,Solås skole,Ja,Ja,
2017-03-08,Solås skole,Ja,Ja,
2017-03-09,Solås skole,Ja,Ja,
2017-03-10,Solås skole,Ja,Ja,
2017-03-11,Solås skole,Nei,Nei,Lørdag
2017-03-12,Solås skole,Nei,Nei,Søndag
2017-03-13,Solås skole,Ja,Ja,
2017-03-14,Solås skole,Ja,Ja,
2017-03-15,Solås skole,Ja,Ja,
2017-03-16,Solås skole,Ja,Ja,
2017-03-17,Solås skole,Ja,Ja,
2017-03-18,Solås skole,Nei,Nei,Lørdag
2017-03-19,Solås skole,Nei,Nei,Søndag
2017-03-20,Solås skole,Ja,Ja,
2017-03-21,Solås skole,Ja,Ja,
2017-03-22,Solås skole,Ja,Ja,
2017-03-23,Solås skole,Ja,Ja,
2017-03-24,Solås skole,Ja,Ja,
2017-03-25,Solås skole,Nei,Nei,Lørdag
2017-03-26,Solås skole,Nei,Nei,Søndag
2017-03-27,Solås skole,Ja,Ja,
2017-03-28,Solås skole,Ja,Ja,
2017-03-29,Solås skole,Ja,Ja,
2017-03-30,Solås skole,Ja,Ja,
2017-03-31,Solås skole,Ja,Ja,
2017-04-01,Solås skole,Nei,Nei,Lørdag
2017-04-02,Solås skole,Nei,Nei,Søndag
2017-04-03,Solås skole,Ja,Ja,
2017-04-04,Solås skole,Ja,Ja,
2017-04-05,Solås skole,Ja,Ja,
2017-04-06,Solås skole,Ja,Ja,
2017-04-07,Solås skole,Ja,Ja,
2017-04-08,Solås skole,Nei,Nei,Lørdag
2017-04-09,Solås skole,Nei,Nei,Søndag
2017-04-10,Solås skole,Nei,Ja,Påskeferie 
2017-04-11,Solås skole,Nei,Ja,Påskeferie 
2017-04-12,Solås skole,Nei,nei,Påskeferie 
2017-04-13,Solås skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-14,Solås skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-15,Solås skole,Nei,Nei,Lørdag
2017-04-16,Solås skole,Nei,Nei,Søndag
2017-04-17,Solås skole,Nei,Nei,Påskeferie/Helligdag 
2017-04-18,Solås skole,Ja,ja,
2017-04-19,Solås skole,Ja,ja,
2017-04-20,Solås skole,Ja,ja,
2017-04-21,Solås skole,Ja,ja,
2017-04-22,Solås skole,Nei,Nei,Lørdag
2017-04-23,Solås skole,Nei,Nei,Søndag
2017-04-24,Solås skole,Ja,ja,
2017-04-25,Solås skole,Ja,ja,
2017-04-26,Solås skole,Ja,ja,
2017-04-27,Solås skole,Nei,Nei,Planleggingsdag 
2017-04-28,Solås skole,Nei,Nei,Planleggingsdag 
2017-04-29,Solås skole,Nei,Nei,Lørdag
2017-04-30,Solås skole,Nei,Nei,Søndag
2017-05-01,Solås skole,Nei,Nei,Off.fridag 
2017-05-02,Solås skole,Ja,ja,
2017-05-03,Solås skole,Ja,ja,
2017-05-04,Solås skole,Ja,ja,
2017-05-05,Solås skole,Ja,ja,
2017-05-06,Solås skole,Nei,Nei,Lørdag
2017-05-07,Solås skole,Nei,Nei,Søndag
2017-05-08,Solås skole,Ja,Ja,
2017-05-09,Solås skole,Ja,Ja,
